code,coname,house,analyst,carm,yy,mm,dd,title
5940,NH투자증권,KDB대우증권,정길원,-0.028966446,2010.0,12.0,2.0,우리투자증권/삼성증권
30000,제일기획,KDB대우증권,변승재,0.0011335542,2010.0,12.0,2.0,제일기획
37710,광주신세계,KDB대우증권,김민아,-0.026566446,2010.0,12.0,2.0,광주신세계
47040,대우건설,KDB대우증권,송흥익,0.0182335542,2010.0,12.0,2.0,대우건설
84370,유진테크,KDB대우증권,송종호,0.0588335542,2010.0,12.0,2.0,유진테크/심텍
95720,웅진씽크빅,KDB대우증권,유정현,-0.139366446,2010.0,12.0,2.0,웅진씽크빅
660,SK하이닉스,[구]푸르덴셜투자증권,박현,0.0444539793,2010.0,3.0,22.0,하이닉스
36830,솔브레인,[구]푸르덴셜투자증권,박현,-0.010497661,2010.0,2.0,8.0,테크노세미켐
270,기아차,동양증권,안상준,0.0370177552,2010.0,3.0,2.0,기아차
1210,금호전기,동양증권,이승진,-0.050718773,2010.0,8.0,30.0,디스플레이
1230,동국제강,동양증권,박기현,-0.027582245,2010.0,3.0,2.0,철강 / 비철금속
1300,제일모직,동양증권,황규원,0.0478812268,2010.0,8.0,30.0,화학/에너지
1430,세아베스틸,동양증권,박기현,-0.004382245,2010.0,3.0,2.0,철강 / 비철금속
4020,현대제철,동양증권,박기현,-0.006482245,2010.0,3.0,2.0,철강 / 비철금속
4800,효성,동양증권,황규원,0.1024812268,2010.0,8.0,30.0,화학/에너지
8000,도레이케미칼,동양증권,황규원,0.0237812268,2010.0,8.0,30.0,화학/에너지
9540,한국조선해양,동양증권,이재원,-0.019482245,2010.0,3.0,2.0,현대중공업
10130,고려아연,동양증권,박기현,0.0183177552,2010.0,3.0,2.0,철강 / 비철금속
10520,현대하이스코,동양증권,박기현,0.0068177552,2010.0,3.0,2.0,철강 / 비철금속
16380,동부제철,동양증권,박기현,0.0000177552,2010.0,3.0,2.0,철강 / 비철금속
23590,다우기술,동양증권,이창영,0.0136812268,2010.0,8.0,30.0,인터넷
25850,한화화인케미칼,동양증권,황규원,-0.022918773,2010.0,8.0,30.0,화학/에너지
29460,케이씨,동양증권,이승진,-0.033618773,2010.0,8.0,30.0,디스플레이
30200,KT,동양증권,최남곤,-0.012882245,2010.0,3.0,2.0,KT
32640,LG유플러스,동양증권,최남곤,-0.048618773,2010.0,8.0,30.0,통신서비스
34220,LG디스플레이,동양증권,이승진,-0.026018773,2010.0,8.0,30.0,디스플레이
